date,product_category,sales_amount,quantity_sold,customer_age,customer_satisfaction,region,sales_channel,promotion_used,shipping_cost,profit_margin,total_profit,month,day_of_week,is_weekend
2024-06-15 11:20:07.070855,Clothing,65.22,6,41,4.100648457163829,North,Online,False,14.411550948141192,0.158,10.3,6,Saturday,True
2024-06-16 11:20:07.070855,Sports,14.36,3,27,4.418763098754119,North,Online,False,13.069853013547295,0.242,3.48,6,Sunday,True
2024-06-17 11:20:07.070855,Home & Garden,79.85,2,35,5.0,East,Online,False,7.22574461241385,0.305,24.35,6,Monday,False
2024-06-18 11:20:07.070855,Home & Garden,100.54,2,31,4.025834336789746,North,In-Store,False,18.87,0.29,29.16,6,Tuesday,False
2024-06-19 11:20:07.070855,Electronics,157.32699816706247,8,36,3.2547828964780123,West,Online,False,12.545799064051492,0.228,35.87,6,Wednesday,False
2024-06-20 11:20:07.070855,Electronics,481.62581504489503,6,18,5.0,West,Online,False,12.832524420348998,0.37,178.2,6,Thursday,False
2024-06-21 11:20:07.070855,Electronics,347.0772005550417,6,18,4.14289265349351,East,Online,True,7.257007068916281,0.256,88.85,6,Friday,False
2024-06-22 11:20:07.070855,Books,74.37882348564223,9,42,5.0,West,In-Store,True,7.01,0.252,18.74,6,Saturday,True
2024-06-23 11:20:07.070855,Home & Garden,50.9,4,47,2.881344926454655,East,Online,False,4.1809873472260355,0.119,6.06,6,Sunday,True
2024-06-24 11:20:07.070855,Home & Garden,10.37,6,24,4.3968421844569345,North,Online,False,12.224181498178242,0.377,3.91,6,Monday,False
2024-06-25 11:20:07.070855,Electronics,251.36673448412523,4,32,5.0,North,Online,True,10.986412629229594,0.153,38.46,6,Tuesday,False
2024-06-26 11:20:07.070855,Sports,67.20398047545905,6,38,4.185390502400478,North,In-Store,True,18.48,0.259,17.41,6,Wednesday,False
2024-06-27 11:20:07.070855,Books,69.40522585662144,2,43,3.974600434122349,South,Online,True,6.464170302119878,0.341,23.67,6,Thursday,False
2024-06-28 11:20:07.070855,Electronics,24.060062917742673,8,18,4.295128487481846,East,Online,True,5.432323798473418,0.165,3.97,6,Friday,False
2024-06-29 11:20:07.070855,Electronics,51.324459027115665,3,24,4.131536418306216,West,Online,True,12.763528050514498,0.258,13.24,6,Saturday,True
2024-06-30 11:20:07.070855,Electronics,391.52082539530585,5,31,4.309034630706945,North,In-Store,False,14.67,0.172,67.34,6,Sunday,True
2024-07-01 11:20:07.070855,Clothing,52.48,7,43,4.010708421822123,South,Online,False,12.430123300761293,0.328,17.21,7,Monday,False
2024-07-02 11:20:07.070855,Clothing,107.93,8,64,4.110967875101816,West,In-Store,False,13.83,0.269,29.03,7,Tuesday,False
2024-07-03 11:20:07.070855,Clothing,56.17,10,32,5.0,West,In-Store,False,11.77,0.357,20.05,7,Wednesday,False
2024-07-04 11:20:07.070855,Electronics,105.06627772579789,5,18,4.6976729520428995,West,In-Store,False,10.87,0.368,38.66,7,Thursday,False
2024-07-05 11:20:07.070855,Home & Garden,139.53,2,39,4.711821892072352,North,Online,False,6.7416818658295545,0.295,41.16,7,Friday,False
2024-07-06 11:20:07.070855,Electronics,49.10408757821848,5,50,5.0,West,Phone,False,10.31,0.318,15.62,7,Saturday,True
2024-07-07 11:20:07.070855,Electronics,135.35864880095866,7,36,4.2303926022518175,East,Online,False,4.909010928860887,0.265,35.87,7,Sunday,True
2024-07-08 11:20:07.070855,Clothing,34.39,4,24,3.4523094464774986,South,Online,False,6.271282375727295,0.215,7.39,7,Monday,False
2024-07-09 11:20:07.070855,Clothing,35.36,5,46,3.9055406470492855,West,In-Store,False,5.73,0.294,10.4,7,Tuesday,False
2024-07-10 11:20:07.070855,Books,40.08,3,42,4.12671623594693,West,Online,False,6.076687134871807,0.372,14.91,7,Wednesday,False
2024-07-11 11:20:07.070855,Electronics,117.18803561357497,7,22,3.3032788927872616,East,Online,False,11.07800596503067,0.225,26.37,7,Thursday,False
2024-07-12 11:20:07.070855,Clothing,33.83,9,39,3.8234674289401474,West,Online,False,6.537290438961283,0.194,6.56,7,Friday,False
2024-07-13 11:20:07.070855,Home & Garden,191.67,8,46,4.3543397551841725,North,In-Store,False,18.36,0.217,41.59,7,Saturday,True
2024-07-14 11:20:07.070855,Electronics,53.460043203441025,3,49,5.0,North,Online,True,13.843195871513863,0.231,12.35,7,Sunday,True
2024-07-15 11:20:07.070855,Home & Garden,45.29,7,34,2.364474015547899,North,In-Store,False,16.62,0.122,5.53,7,Monday,False
2024-07-16 11:20:07.070855,Electronics,104.81910292279191,10,30,4.563601106420865,West,In-Store,False,24.17,0.25,26.2,7,Tuesday,False
2024-07-17 11:20:07.070855,Electronics,633.3982222202161,4,49,4.960604656897768,South,In-Store,True,5.43,0.248,157.08,7,Wednesday,False
2024-07-18 11:20:07.070855,Sports,66.46,9,20,4.133196067625182,South,Online,False,10.788925442744675,0.277,18.41,7,Thursday,False
2024-07-19 11:20:07.070855,Sports,153.22,8,40,4.917305476721659,West,In-Store,False,24.18,0.209,32.02,7,Friday,False
2024-07-20 11:20:07.070855,Books,11.404169708268048,7,18,4.210604489438792,South,Online,True,17.543539631684762,0.284,3.24,7,Saturday,True
2024-07-21 11:20:07.070855,Clothing,71.31,11,47,3.5413648688377513,South,Online,False,5.63081091351273,0.363,25.89,7,Sunday,True
2024-07-22 11:20:07.070855,Electronics,202.15071333605988,6,31,2.410028095070258,West,Online,True,9.041864182810714,0.387,78.23,7,Monday,False
2024-07-23 11:20:07.070855,Home & Garden,59.28,6,50,4.401046922155728,North,Online,False,6.7265650783598465,0.275,16.3,7,Tuesday,False
2024-07-24 11:20:07.070855,Clothing,158.46,6,40,3.7147551802731837,West,Online,False,10.374064931039749,0.113,17.91,7,Wednesday,False
2024-07-25 11:20:07.070855,Electronics,55.12812928189659,6,20,3.446348100983972,North,Online,False,12.254985859798172,0.391,21.56,7,Thursday,False
2024-07-26 11:20:07.070855,Clothing,223.49,5,52,3.812456722189269,North,Online,False,5.990851640276267,0.312,69.73,7,Friday,False
2024-07-27 11:20:07.070855,Electronics,1165.2882236171936,11,53,5.0,South,Online,False,12.552691303124956,0.201,234.22,7,Saturday,True
2024-07-28 11:20:07.070855,Sports,37.98,4,45,5.0,South,In-Store,False,18.82,0.144,5.47,7,Sunday,True
2024-07-29 11:20:07.070855,Electronics,96.6850109738704,3,25,4.637808466238312,North,In-Store,False,13.43,0.143,13.83,7,Monday,False
2024-07-30 11:20:07.070855,Home & Garden,233.55,7,31,,North,In-Store,False,22.08,0.15,35.03,7,Tuesday,False
2024-07-31 11:20:07.070855,Clothing,264.96,5,36,3.499913231415371,South,Online,False,10.678626247748896,0.114,30.21,7,Wednesday,False
2024-08-01 11:20:07.070855,Clothing,32.37,5,26,4.6603565629258155,East,Online,False,4.59723548549316,0.371,12.01,8,Thursday,False
2024-08-02 11:20:07.070855,Clothing,42.499857524078074,9,55,5.0,North,Phone,True,17.42,0.262,11.13,8,Friday,False
2024-08-03 11:20:07.070855,Electronics,105.43793333185265,6,36,4.2069780138134725,North,Online,False,7.0703423388674205,0.31,32.69,8,Saturday,True
2024-08-04 11:20:07.070855,Sports,14.361929232006439,5,18,2.3919274636149632,North,In-Store,True,16.15,0.348,5.0,8,Sunday,True
2024-08-05 11:20:07.070855,Books,21.79,8,39,5.0,South,Online,False,14.275767976805858,0.337,7.34,8,Monday,False
2024-08-06 11:20:07.070855,Sports,20.0,5,30,4.762916087559494,West,In-Store,False,22.58,0.365,7.3,8,Tuesday,False
2024-08-07 11:20:07.070855,Books,21.783633453142645,3,34,3.1714695895899236,North,Online,True,9.802537470921465,0.39,8.5,8,Wednesday,False
